"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Я тестирую страницу ПРОК","Я тестирую страницу ПРОК","0","0","1","0","0"
"","Я тестирую страницу КЕДР","Я тестирую страницу КЕДР","0","0","1","0","0"
"","Я подключаюсь к базе и перехожу на начальную позицию теста","Я подключаюсь к базе и перехожу на начальную позицию теста","0","0","1","0","0"
"","Я тестирую страницу НЕРПА","Я тестирую страницу НЕРПА","0","0","1","0","0"
"","Я тестирую страницу КлапанКЭД","Я тестирую страницу КлапанКЭД","0","0","1","0","0"
"","Я тестирую страницу КПУ","Я тестирую страницу КПУ","0","0","1","0","0"
"","проверяю работу механизма получения стоимости","проверяю работу механизма получения стоимости","1","0","0","0","0"
"","Проверяю значение ячейки Стоимость в табличном документе","Проверяю значение ячейки Стоимость в табличном документе","1","0","0","0","0"
"","Я тестирую страницу ОКСИД","Я тестирую страницу ОКСИД","0","0","1","0","0"
"","Я закрываю базу после окончания тестирования","Я закрываю базу после окончания тестирования","0","0","1","0","0"
"","Проверяю загрузку данных","Проверяю загрузку данных","1","0","0","0","0"
"","Я тестирую страницу КЛАРА-КРОСС","Я тестирую страницу КЛАРА-КРОСС","0","0","1","0","0"
"","Я тестирую страницу УКОЛ","Я тестирую страницу УКОЛ","0","0","1","0","0"
"","Я тестирую страницу КИД","Я тестирую страницу КИД","0","0","1","0","0"
"","Я проверяю работу механизма выбора файла","Я проверяю работу механизма выбора файла","0","0","1","0","0"
"","Я тестирую страницу ГермикТ","Я тестирую страницу ГермикТ","0","0","1","0","0"
"","Я тестирую страницу ГАЗОХОД","Я тестирую страницу ГАЗОХОД","0","0","1","0","0"
"","Я Тестирую страницу РЕГУЛЯР","Я Тестирую страницу РЕГУЛЯР","0","0","1","0","0"
"","Я тестирую страницу НЕРПАКО","Я тестирую страницу НЕРПАКО","0","0","1","0","0"
"","Я тестирую страницу РЕГЛАН","Я тестирую страницу РЕГЛАН","0","0","1","0","0"
"","Я тестирую страницу ТЮЛЬПАН","Я тестирую страницу ТЮЛЬПАН","0","0","1","0","0"
