"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 12 11:21:10 MSK 2023","Thu Oct 12 11:21:14 MSK 2023","4401","","","","","","Я тестирую страницу ПРОК",""
"passed","Thu Oct 12 11:21:39 MSK 2023","Thu Oct 12 11:21:45 MSK 2023","5691","","","","","","Я тестирую страницу КЕДР",""
"passed","Thu Oct 12 11:20:06 MSK 2023","Thu Oct 12 11:21:01 MSK 2023","55369","","","","","","Я подключаюсь к базе и перехожу на начальную позицию теста",""
"passed","Thu Oct 12 11:21:54 MSK 2023","Thu Oct 12 11:22:02 MSK 2023","7053","","","","","","Я тестирую страницу НЕРПА",""
"passed","Thu Oct 12 11:21:02 MSK 2023","Thu Oct 12 11:21:09 MSK 2023","7127","","","","","","Я тестирую страницу КлапанКЭД",""
"passed","Thu Oct 12 11:21:21 MSK 2023","Thu Oct 12 11:21:26 MSK 2023","5558","","","","","","Я тестирую страницу КПУ",""
"failed","Thu Oct 12 11:19:39 MSK 2023","Thu Oct 12 11:19:57 MSK 2023","17498","","","","","","проверяю работу механизма получения стоимости",""
"failed","Thu Oct 12 11:19:57 MSK 2023","Thu Oct 12 11:20:00 MSK 2023","2250","","","","","","Проверяю значение ячейки Стоимость в табличном документе",""
"passed","Thu Oct 12 11:21:15 MSK 2023","Thu Oct 12 11:21:20 MSK 2023","5472","","","","","","Я тестирую страницу ОКСИД",""
"passed","Thu Oct 12 11:22:30 MSK 2023","Thu Oct 12 11:22:36 MSK 2023","5588","","","","","","Я закрываю базу после окончания тестирования",""
"failed","Thu Oct 12 11:19:36 MSK 2023","Thu Oct 12 11:19:39 MSK 2023","2305","","","","","","Проверяю загрузку данных",""
"passed","Thu Oct 12 11:21:50 MSK 2023","Thu Oct 12 11:21:54 MSK 2023","3722","","","","","","Я тестирую страницу КЛАРА-КРОСС",""
"passed","Thu Oct 12 11:22:24 MSK 2023","Thu Oct 12 11:22:30 MSK 2023","5538","","","","","","Я тестирую страницу УКОЛ",""
"passed","Thu Oct 12 11:21:45 MSK 2023","Thu Oct 12 11:21:49 MSK 2023","4226","","","","","","Я тестирую страницу КИД",""
"passed","Thu Oct 12 11:19:36 MSK 2023","Thu Oct 12 11:19:36 MSK 2023","39","","","","","","Я проверяю работу механизма выбора файла",""
"passed","Thu Oct 12 11:21:33 MSK 2023","Thu Oct 12 11:21:38 MSK 2023","5697","","","","","","Я тестирую страницу ГермикТ",""
"passed","Thu Oct 12 11:21:27 MSK 2023","Thu Oct 12 11:21:32 MSK 2023","4880","","","","","","Я тестирую страницу ГАЗОХОД",""
"passed","Thu Oct 12 11:22:13 MSK 2023","Thu Oct 12 11:22:19 MSK 2023","5284","","","","","","Я Тестирую страницу РЕГУЛЯР",""
"passed","Thu Oct 12 11:22:02 MSK 2023","Thu Oct 12 11:22:06 MSK 2023","4282","","","","","","Я тестирую страницу НЕРПАКО",""
"passed","Thu Oct 12 11:22:07 MSK 2023","Thu Oct 12 11:22:13 MSK 2023","5642","","","","","","Я тестирую страницу РЕГЛАН",""
"passed","Thu Oct 12 11:22:19 MSK 2023","Thu Oct 12 11:22:23 MSK 2023","4145","","","","","","Я тестирую страницу ТЮЛЬПАН",""
